,label,sentiment_vader,count
0,alt.atheism,0,365.0
1,alt.atheism,1,412.0
2,comp.graphics,0,234.0
3,comp.graphics,1,718.0
4,comp.os.ms-windows.misc,0,227.0
5,comp.os.ms-windows.misc,1,717.0
6,comp.sys.ibm.pc.hardware,0,260.0
7,comp.sys.ibm.pc.hardware,1,702.0
8,comp.sys.mac.hardware,0,253.0
9,comp.sys.mac.hardware,1,674.0
10,comp.windows.x,0,290.0
11,comp.windows.x,1,685.0
12,misc.forsale,0,141.0
13,misc.forsale,1,818.0
14,rec.autos,0,342.0
15,rec.autos,1,592.0
16,rec.motorcycles,0,430.0
17,rec.motorcycles,1,538.0
18,rec.sport.baseball,0,299.0
19,rec.sport.baseball,1,650.0
20,rec.sport.hockey,0,331.0
21,rec.sport.hockey,1,640.0
22,sci.crypt,0,327.0
23,sci.crypt,1,634.0
24,sci.electronics,0,282.0
25,sci.electronics,1,673.0
26,sci.med,0,434.0
27,sci.med,1,522.0
28,sci.space,0,310.0
29,sci.space,1,644.0
30,soc.religion.christian,0,293.0
31,soc.religion.christian,1,681.0
32,talk.politics.guns,0,630.0
33,talk.politics.guns,1,255.0
34,talk.politics.mideast,0,567.0
35,talk.politics.mideast,1,348.0
36,talk.politics.misc,0,373.0
37,talk.politics.misc,1,378.0
38,talk.religion.misc,0,239.0
39,talk.religion.misc,1,362.0
